elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 Mpa - national avg, A1-A3 q_PC","concrete, 17.2 Mpa - national avg, A1-A3 q_electricity","concrete, 17.2 Mpa - national avg, A1-A3 q_NG","concrete, 17.2 Mpa - national avg, A1-A3 msw",market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Underground",209.10219089652767,3.757459909934783,0.8306747741254288,0.0,0.11269705952929548,0.06484104040643772,0.06291257546569588,0.11493458188721561,250.5685,0.8367543783927829,0.11279143352595508,9.445625081373998e-06,11.775638204220456,251.5894,253.1592,250.872
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Underground",188.03754620710268,4.358084284845231,-0.41265826380933757,0.0,0.09494245168574426,0.06872415408790775,0.06396585836006269,0.09487896563162465,204.1284,0.5564881555562456,0.0997245196581924,8.941488677108898e-06,5.643111399705179,204.845,206.003,204.3694
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Underground",201.60650113862158,4.025891836488345,-0.26736989906674025,0.0,0.10003069789616609,0.06513116056544,0.06400410130165261,0.09570938456564128,218.1908,0.6085444709991161,0.10245715070041603,9.051652894337522e-06,6.569193105597393,218.9558,220.2003,218.4431
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Underground",217.23573460609205,4.2501791183241835,1.1622288686338131,0.0,0.11493900903059621,0.054520797221147804,0.07168738312583159,0.07437819632225107,236.6457,0.7200402391170689,0.11384013562626337,9.21864973488803e-06,11.864881602890058,237.7444,239.1938,237.0228
Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Piceance,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Green River,"coal extraction and processing - Central Interior, BIT, Surface",201.6975826503545,3.890621957046048,0.9780586758406155,0.0,0.11558407979919919,0.056737747704419854,0.06712337623836692,0.11226892527632691,229.421,0.8052369851751922,0.11204387345360478,9.19995662822526e-06,12.008229934578221,230.4339,231.9284,229.7199
Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Piceance,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Green River,"coal extraction and processing - Central Interior, BIT, Surface",197.89885079098278,4.2909295835336785,-0.5093984138804214,0.0,0.11657800306843469,0.07677230255797447,0.061286140887940814,0.08891555768963194,195.8652,0.5343794090263728,0.10154615414086365,9.31800029226715e-06,5.405328390197055,196.544,197.6137,196.0816
Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Piceance,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Green River,"coal extraction and processing - Central Interior, BIT, Surface",212.48926273659526,4.0138250526612875,0.5142207425395184,0.0,0.1088096164570607,0.06951389557586689,0.07199383449942905,0.10362332741313277,230.2646,0.7504864257540116,0.1123378903398159,9.817368517038619e-06,10.319783282277207,231.2011,232.6183,230.5446
Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Piceance,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Green River,"coal extraction and processing - Central Interior, BIT, Surface",197.71853816179808,4.563733468444582,0.7260906385557587,0.0,0.11896906923840063,0.06428472778550158,0.05801297930631982,0.1058935247401385,218.963,0.7390028887426818,0.10896904821277603,9.002182951630257e-06,10.688823903863254,219.9099,221.3014,219.2489
Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Piceance,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Green River,"coal extraction and processing - Central Interior, BIT, Surface",225.33874256955102,4.556947397048472,-0.4955520098290015,0.0,0.1326032965330231,0.07514988168483705,0.05502933889270982,0.08192880593696034,213.3884,0.5605463728839908,0.10435908167340843,9.44650033463476e-06,5.724067067557981,214.0936,215.2203,213.6158
Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Piceance,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Green River,"coal extraction and processing - Central Interior, BIT, Surface",206.7730053559149,4.173523846505835,-0.6198346534024642,0.0,0.1089411965815347,0.06025058739668321,0.060767504588040144,0.10005335457203149,206.0273,0.5782102412912078,0.09985145685529694,8.872312741316997e-06,5.336147568444228,206.6822,207.8346,206.2286
