elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 MPa - national avg, A1-A3 total_cementitious","concrete, 17.2 MPa - national avg, A1-A3 pct_scm","concrete, 17.2 MPa - national avg, A1-A3 pct_scm_flyash","concrete, 17.2 MPa - national avg, A1-A3 q_electricity","concrete, 17.2 MPa - national avg, A1-A3 q_NG","concrete, 17.2 MPa - national avg, A1-A3 plc_boolean","concrete, 17.2 MPa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",258.8101659846357,0.0,1.0,4.149293052468735,0.3837309393763294,0.0,0.0,0.1357347963786089,0.1306199189783392,0.10504089711173917,0.06817145791929904,0.058382933265953146,0.07666449079698298,269.1606,0.7246073526082595,0.11186035972221625,9.456110115586663e-06,9.482968771219765,270.4174,272.8826,269.8157
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",252.6038014451561,0.2,0.5,4.5798342472079066,1.432946892600743,0.0,0.0,0.12235677156200156,0.14758505686644702,0.13230019958151046,0.06518440778804252,0.0688423868973308,0.10315445102310628,253.8611,0.8543926122846294,0.11947549333019813,1.0523688455057485e-05,13.633988311970302,255.3341,257.9736,254.5622
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",253.53727413628587,0.3,0.0,3.688861264237524,0.6777893896676572,0.0,0.0,0.11632016524388869,0.15708720878151367,0.12282482135497343,0.07255586834419164,0.06335968548043275,0.10542633782970548,229.4097,0.7372861100727954,0.11947607051639976,1.2172182633747818e-05,10.671395811523569,230.7072,233.0337,230.0286
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",261.3996543416101,0.5,0.5,4.241149309852672,0.9485614937116871,0.0,0.0,0.14024785642974788,0.1345200131586858,0.09791172747745282,0.07015736244196703,0.06613690755671822,0.10017360363051944,185.8493,0.6294596930346864,0.11191113087579284,1.09420669464782e-05,10.363168187933645,187.0493,188.916,186.39
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Processing",248.23000561242407,0.1,0.0,4.240152793992509,1.8865538892464175,0.0,0.0,0.11125822901486879,0.1352075349826847,0.10319112302812548,0.07211654571113843,0.06501622317612253,0.07771473226319696,256.1826,0.8637980822665257,0.12508884689360436,1.048772278931133e-05,15.876374706352673,257.5183,259.2807,256.6482
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Processing",256.42802542485117,0.3,0.0,3.792165443757315,1.245136940798241,0.0,0.0,0.14912140516024913,0.16133477579465808,0.13050232805646775,0.06486146079815278,0.06300083631069546,0.09210197880869327,231.7972,0.7931226191329731,0.12464787385869992,1.212185337635882e-05,13.697894694986658,233.0242,234.6746,232.2253
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Processing",258.64373080983995,0.3,0.5,4.1352112362053495,-0.13377182566467738,0.0,0.0,0.14019833348464258,0.13384016419340122,0.10596968099626608,0.056609356887607154,0.07045465220287808,0.09461136488737974,209.3402,0.6171505119125795,0.10735017410396892,1.0294283414993307e-05,7.756216828686561,210.2119,211.5994,209.6628
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Processing",261.91026812599637,0.5,0.0,4.561288859956411,0.8178767691440745,0.0,0.0,0.12610645564600492,0.1549385399969445,0.09787807461003777,0.059261238642043905,0.06856800541982151,0.11981002227726985,199.0288,0.7238624479910936,0.12431219483437289,1.356224303159042e-05,11.95253787027315,200.1505,201.6286,199.4037
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Processing",248.2969435307184,0.1,1.0,3.943556838284401,1.4146125005856263,1.0,0.0,0.11361043008868214,0.15632387011871623,0.10986420418138401,0.06943238572963686,0.06440239627321519,0.09005207228030902,244.9513,0.8252570090267177,0.11630149647987767,9.511974651224121e-06,14.097581684235779,246.1789,247.9431,245.396
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Processing",256.1046545875962,0.5,1.0,4.360295826218928,-0.009487228101239809,0.0,0.0,0.11511979274580932,0.1522810781608673,0.13334186515615998,0.06901858796247445,0.06496412929587574,0.0830412857699875,149.2777,0.4440291739018609,0.09385811173313263,8.134034517833165e-06,6.096621574617199,150.0213,151.01,149.5547
