elec120V_cmu_plant,natgas_cmu_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,elec_medV_forExClay,heat,"CMU, light-weight, A1-A3 q_cement",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Fort Worth,"coal extraction and processing - Southern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","heat, from natural gas, in industrial boiler",205.39522943037517,0.14059413513922162,0.1130744975472663,0.10524668526999106,0.06736135548483894,0.0689047840685584,0.09947175898413271,0.0,364.6804,0.9381720660642647,0.5843668438573721,1.1132650827466726e-05,13.686778170600926,371.9317,383.8881,370.7241
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Fort Worth,"coal extraction and processing - Southern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","heat, from natural gas, in industrial boiler",173.3345527030401,0.14375659592377357,0.10884512295748844,0.10900600857755169,0.06416436376572769,0.058729878249825965,0.10648174715641816,0.0,337.7399,0.8833879904915007,0.579423800857805,1.0625738133868854e-05,13.122491139530169,344.8401,356.3264,343.6515
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Fort Worth,"coal extraction and processing - Southern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","heat, from natural gas, in industrial boiler",179.30396766414694,0.16250345148109963,0.16798035827154775,0.11097574341406392,0.06174786654573011,0.06941845560020887,0.10357699255592266,0.0,344.1906,0.8933229051161997,0.5808748734418164,1.0825033238661522e-05,13.265436871140638,351.3233,362.8959,350.129
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Fort Worth,"coal extraction and processing - Southern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","heat, from natural gas, in industrial boiler",179.8545668665559,0.14184143356903597,0.11875730538344301,0.11205762036656987,0.053494166575635396,0.07289043652032698,0.11208924858266832,0.0,347.9847,0.9217787657400245,0.5811615896187026,1.0858260693964163e-05,13.466603656600235,355.1868,367.0264,353.9905
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Fort Worth,"coal extraction and processing - Southern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","heat, from natural gas, in industrial boiler",183.92880273994408,0.16419492483559192,0.09677066406797903,0.1022952879109475,0.05737894193838362,0.0707327861596559,0.1219100367378059,0.0,360.4119,0.9739630870465075,0.582225136221746,1.0949121110983128e-05,13.95037010293259,367.7572,380.1095,366.5554
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Fort Worth,"coal extraction and processing - Southern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","heat, from natural gas, in industrial boiler",201.266154811387,0.096352830483444,0.15957322148972614,0.11703456362673895,0.06758069628650833,0.06567150106223263,0.09782741593989823,0.0,354.9253,0.9117830155187444,0.5835332208078784,1.1079387652380526e-05,13.37062278018144,362.0942,373.7762,360.8903
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Fort Worth,"coal extraction and processing - Southern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","heat, from natural gas, in industrial boiler",197.6141654019603,0.1599158947404754,0.1428831766643409,0.09738480645839712,0.06901132841423911,0.07548978168614524,0.0911860358536113,0.0,353.498,0.8896290888788454,0.5828696378728029,1.0973360694172135e-05,13.294200996755764,360.6256,372.1338,359.4249
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Fort Worth,"coal extraction and processing - Southern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","heat, from natural gas, in industrial boiler",177.38930273859665,0.07233863820175249,0.10622543672341296,0.11222092276194644,0.0793681188140064,0.060840087998823573,0.11850599818928484,0.0,342.9031,0.9249171953574928,0.5807490351873086,1.0847548975029934e-05,13.36670617080809,350.0957,361.9374,348.9005
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Fort Worth,"coal extraction and processing - Southern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","heat, from natural gas, in industrial boiler",174.59481915678592,0.1083115617246297,0.15596719609122597,0.11054061891516706,0.06684264662371216,0.0687662232821312,0.11465549914974586,0.0,341.128,0.9102528780090743,0.5803288461975885,1.0794658187342048e-05,13.297509461408428,348.2905,360.0113,347.0973
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Anadarko,"coal extraction and processing - Northern Appalachia, BIT, Surface","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","heat, from natural gas, in industrial boiler",179.80438418942725,0.10445217763917518,0.1349330817482205,0.10130355115525307,0.06594417614101776,0.06103135730474008,0.08306964327402723,0.0,316.8835,0.7846974345856511,0.5794716854910538,1.0071773917780688e-05,12.660105342410716,322.9448,330.9867,321.7058
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Anadarko,"coal extraction and processing - Northern Appalachia, BIT, Surface","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","heat, from natural gas, in industrial boiler",173.31649189701255,0.16015694019493104,0.09572047871785445,0.10579264710058542,0.06645112007009406,0.06434251070776303,0.1066303931127556,0.0,331.1461,0.8689555195044525,0.5809208425389155,1.0302440641664677e-05,13.559053460029142,337.253,345.5181,335.9895
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Anadarko,"coal extraction and processing - Northern Appalachia, BIT, Surface","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","heat, from natural gas, in industrial boiler",170.8324623582552,0.10091701729295466,0.1376928334259101,0.10744542532230716,0.06793652952809724,0.06957597219602955,0.09083965435915058,0.0,313.2612,0.7941309111702131,0.5792319398443208,1.0156654352486711e-05,12.70869735402891,319.3177,327.3627,318.0755
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Anadarko,"coal extraction and processing - Northern Appalachia, BIT, Surface","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","heat, from natural gas, in industrial boiler",180.27591197405295,0.14192256864806535,0.15114395316312498,0.11411324852637665,0.06603239857309372,0.06126875180966551,0.10160190141893811,0.0,332.9716,0.8652781205779876,0.5817073141547179,1.0387348932170452e-05,13.505776111415347,339.077,347.3191,337.8113
