elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 MPa - national avg, A1-A3 total_cementitious","concrete, 17.2 MPa - national avg, A1-A3 pct_scm","concrete, 17.2 MPa - national avg, A1-A3 pct_scm_flyash","concrete, 17.2 MPa - national avg, A1-A3 q_electricity","concrete, 17.2 MPa - national avg, A1-A3 q_NG","concrete, 17.2 MPa - national avg, A1-A3 plc_boolean","concrete, 17.2 MPa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Surface",240.25340262098038,0.3,1.0,4.043061914813943,1.9288484115818125,0.0,0.0,0.13617149141384982,0.13702450471697084,0.11362229155816865,0.06817176113218251,0.0684412715981059,0.1083749437466272,222.9042,0.8501164658727637,0.12449771726396303,1.0354244501368768e-05,15.579542303848854,224.1497,225.6709,223.2719
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Surface",253.17487596981394,0.1,0.0,4.225188352970682,1.3281329479877735,0.0,0.0,0.13674496463190863,0.20360703342167152,0.1033780838945222,0.07265112166015542,0.06953998233998376,0.07048701412279659,249.8196,0.7772258186499876,0.13242447689598344,1.2049354878395704e-05,13.690780358289803,251.0331,252.5036,250.2036
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Surface",248.50742142904733,0.3,0.5,3.5103232274251637,0.8191655033490854,0.0,0.0,0.12371494346874626,0.17118953289333516,0.12378191956463772,0.0699709173389582,0.05513205817173542,0.08803227062558684,207.0595,0.6765401618398246,0.12071130940590374,1.1258528410729895e-05,11.024362404913274,208.0858,209.3419,207.3727
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Surface",273.41511239271745,0.0,1.0,3.9307703250874075,1.0679440180709996,0.0,0.0,0.1861424659925504,0.13703768465942492,0.08831346182629547,0.06939853971723131,0.06005596671372885,0.10120729750338843,305.9387,0.9836639699396121,0.13188895528668199,1.1213201123722063e-05,14.62732592857739,307.1454,309.0137,306.2943
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Surface",257.41294845244255,0.2,0.0,3.668970230195913,0.4544545401494804,0.0,0.0,0.10346977446695119,0.1588800139573396,0.10054578064354491,0.06682050112241716,0.06959265911551936,0.09848150317298474,238.9228,0.7599792846757039,0.12784552889571085,1.2718481783622104e-05,10.90286996402669,239.9392,241.3311,239.2137
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Surface",260.7408156474472,0.4,0.5,3.917933887678275,0.16783309167780336,0.0,0.0,0.1546892246293609,0.15070349379320888,0.10868197287540636,0.06471522423360788,0.07327311176413537,0.08550465326794762,189.9047,0.5755277521945914,0.11902578272682704,1.2154238495693347e-05,8.466859147307476,190.815,191.9363,190.192
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Surface",252.252754290025,0.4,1.0,3.970668382840791,0.6599082851593093,0.0,0.0,0.1446613964769253,0.14030893064111574,0.11554464293334864,0.06648835449452707,0.06466760128994883,0.10594633098439289,190.0335,0.6478781915680372,0.11154001883826296,9.758989325233593e-06,10.004462832002778,190.9716,192.1826,190.317
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Surface",249.07236995532298,0.0,0.0,3.98743673726977,0.3125878394175262,0.0,0.0,0.14299628757309787,0.14118892311212045,0.091794096087778,0.06469471728475036,0.06987119864191327,0.10635975149545245,275.3847,0.8593581483093156,0.12417308693989894,1.1133377491864365e-05,11.146381357200834,276.3812,277.9929,275.6648
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Surface",252.2469686677143,0.3,1.0,3.5952237867934222,0.8730835076107011,0.0,0.0,0.12625062240543888,0.13725940158143615,0.09725899131558154,0.06504422346414533,0.06336722260153155,0.09236280859314631,205.9194,0.6812732279402116,0.1147180042294509,9.744154039841077e-06,10.927801384016107,206.9148,208.1791,206.2222
Electricity; at user; consumption mix - Duke Energy Progress East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, WC, Processing",252.82533063723423,0.4,0.0,4.3085165463016235,1.473166071820338,0.0,0.0,0.16921669805922568,0.12600142971336503,0.09952719360902433,0.0726574968409167,0.0639391672445905,0.11946213877737885,236.4869,0.8453957175627751,0.1361535130105907,1.4288564966777662e-05,14.381269168659484,238.2587,241.5042,237.4269
