elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 27.6 Mpa - national avg, A1-A3 total_cementitious","concrete, 27.6 Mpa - national avg, A1-A3 q_electricity","concrete, 27.6 Mpa - national avg, A1-A3 q_NG","concrete, 27.6 Mpa - national avg, A1-A3 percent_SCM_replacement","concrete, 27.6 Mpa - national avg, A1-A3 plc_boolean","concrete, 27.6 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",340.2423994355301,3.7137851268860023,1.7926221524675905,0.2,0.0,0.0,0.14119319518407972,0.1373274122291093,0.12124808091560707,0.07556108498469362,0.06764413733249025,0.10483558571439427,0.0,336.1192,1.1284656651613647,0.1500413808909777,1.8424005513452574e-05,18.47260958010717,338.6583,341.5455,336.8816
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",340.0527763424329,4.335925878226925,1.268924411570029,0.4,1.0,0.0,0.1302719435338192,0.11551409345013222,0.09498881852439171,0.0741590194640434,0.06380980608258008,0.09664579718959815,0.0,236.5429,0.7996544354524344,0.12965428221149788,1.701985018587431e-05,13.62223891662402,238.3553,240.3747,237.0709
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",325.93659052317196,4.180837174860393,1.9234775264465798,0.0,0.0,0.0,0.11888385245289493,0.13347881824363614,0.10957523513777617,0.0703433758987712,0.061290155503307145,0.09832014020917756,0.0,373.5021,1.2161501467483178,0.15363690063607757,1.7890051962761086e-05,19.524693661377206,376.2257,379.3445,374.3275
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",291.1124778288648,3.498545997588698,0.6512208724540958,0.1,0.0,0.0,0.1345978708652466,0.1805463593642305,0.11473759455591265,0.06429458842684661,0.055123295130625166,0.08290519892622565,0.0,286.026,0.8255177256551947,0.1310663948938567,1.6441027784169602e-05,12.16013427706689,287.9063,290.1968,286.6137
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",336.2210665953914,4.26406475726128,1.1275589839629423,0.1,0.0,0.0,0.12010107853446417,0.09626485077229183,0.11529775949591961,0.0706044807610695,0.06634705907177968,0.11428880648365689,0.0,359.8221,1.17395977665996,0.14829157978216864,1.8319660667967503e-05,16.794240935929796,362.4007,365.5634,360.6158
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",358.1418606844757,4.2038196292202565,0.3836265537578191,0.4,0.0,0.0,0.141705272906267,0.0837453299084108,0.10500193732572327,0.06663581959055903,0.07164198812635855,0.08756677158339873,0.0,251.2227,0.7376094693009099,0.12937936550941,1.7501445475291757e-05,10.716409209594621,252.8911,254.9608,251.7353
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",348.10606338038855,3.5970601967103057,0.9407349462827069,0.5,0.0,0.0,0.11111919229204023,0.16860071593483572,0.11552641486210871,0.06343954394032662,0.06277074689108919,0.09704996451277878,0.0,220.2367,0.730862893937319,0.125147869463856,1.676445693688867e-05,11.908899182416185,221.88,223.7671,220.7152
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",323.2112517942785,4.30320296871865,0.8236828735162394,0.0,1.0,0.0,0.1609073429695249,0.11069387497753189,0.1064790086917752,0.05294869727234242,0.06187056557111225,0.09266682686954085,0.0,319.9587,0.9601094031603574,0.13496740297971832,1.6431903917178984e-05,13.827467541028787,322.1096,324.7417,320.6315
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",332.47239093430903,4.174201609752819,-0.29445215778956324,0.0,0.0,0.0,0.1642815067990057,0.1189687668638577,0.10302549006148404,0.06723356390988697,0.06235207469002284,0.08776520602462218,0.0,351.7425,0.9200710145996197,0.13824060430943516,1.7602323749819524e-05,10.786432988514967,353.8258,356.6627,352.4409
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Permian,"coal extraction and processing - Central Interior, BIT, Surface",335.26335070316105,4.59725446659284,0.5340765929475779,0.2,0.0,0.0,0.1258392220108063,0.14805482608355183,0.1031492954481796,0.06303581493192756,0.06036666139784978,0.10088309069176671,0.0,294.1332,0.9159721699422967,0.12472056373657267,1.596427053398709e-05,12.102143136323846,295.4047,297.0646,294.3576
