elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 20.7 Mpa - national avg, A1-A3 q_cement","concrete, 20.7 Mpa - national avg, A1-A3 q_electricity","concrete, 20.7 Mpa - national avg, A1-A3 q_NG","concrete, 20.7 Mpa - national avg, A1-A3 plc_boolean","concrete, 20.7 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Strawn,natural gas extraction and processing - Anadarko,"coal extraction and processing - Powder River Basin, BIT, Surface",245.74500240974893,3.8670806128924107,0.13948887615981131,0.0,0.0,0.19902772760763934,0.13873770444733857,0.113066843497019,0.0684162690272938,0.06144197220306846,0.08673570935949602,0.0,267.921,0.7262548243324477,0.12012461339696585,1.1402902598364063e-05,8.5724804521741,268.8382,270.3183,268.225
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Strawn,natural gas extraction and processing - Anadarko,"coal extraction and processing - Powder River Basin, BIT, Surface",220.47453643337977,3.896534431978219,1.3365642127347068,1.0,0.0,0.10509290997619906,0.1111178034420964,0.11548436787786098,0.06932753704902056,0.06862993305731833,0.09888187680078434,0.0,241.0857,0.8008688433737796,0.12264374127631791,1.104012427098021e-05,12.617362299608892,242.1823,243.6335,241.41
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Strawn,natural gas extraction and processing - Anadarko,"coal extraction and processing - Powder River Basin, BIT, Surface",242.43486999919725,3.979084675004334,0.779208744878818,0.0,0.0,0.18534745075341225,0.14764747281795365,0.11060435924109505,0.06695526610513804,0.06169472184262729,0.10160131516029097,0.0,281.5483,0.8622929955880534,0.12474009004678158,1.1445740656829323e-05,11.563907817019915,282.5967,284.2449,281.867
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Strawn,natural gas extraction and processing - Anadarko,"coal extraction and processing - Powder River Basin, BIT, Surface",235.01242311982756,4.354994442409702,1.009891909726011,0.0,0.0,0.14364622921530962,0.17262810246858742,0.0989715887404483,0.06833246503242384,0.050582673847191596,0.07021430844631468,0.0,247.8422,0.702997625278906,0.11964332226394517,1.0324639870377574e-05,10.79389588714328,248.8821,250.2602,248.1879
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Strawn,natural gas extraction and processing - Anadarko,"coal extraction and processing - Powder River Basin, BIT, Surface",251.27461106823614,5.148434972100302,2.236179499255176,0.0,0.0,0.12294969633021774,0.1270111280775141,0.11230271071464382,0.06849696416156453,0.0722480027245731,0.08731265998044352,0.0,292.2136,0.9711521294228793,0.13746359940777864,1.2012118752821558e-05,16.775032992788073,293.5742,295.3421,292.6256
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Strawn,natural gas extraction and processing - Anadarko,"coal extraction and processing - Powder River Basin, BIT, Surface",234.35335084248595,4.148611848902338,-0.0499360712012239,0.0,0.0,0.10052479852997354,0.14813014129369748,0.12464372174336026,0.0670877385514284,0.05691663922042971,0.075355543716605,0.0,234.8423,0.5972852396752752,0.11444759086841352,1.077715688423795e-05,6.691129925993373,235.645,236.8156,235.0977
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Strawn,natural gas extraction and processing - Anadarko,"coal extraction and processing - Powder River Basin, BIT, Surface",232.74479057514714,3.77742490822837,1.209081948098851,0.0,0.0,0.16834846690830924,0.1699141074140132,0.1286038311239954,0.0689163138916853,0.05256098484880466,0.08514612307849047,0.0,263.4337,0.8033874236833793,0.12418774465420011,1.0966910666383377e-05,12.280212930063001,264.5438,266.0862,263.7878
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Strawn,natural gas extraction and processing - Anadarko,"coal extraction and processing - Powder River Basin, BIT, Surface",230.94261578044993,3.8869342132055644,1.0175598012154008,0.0,0.0,0.14949080578434426,0.08960787766119607,0.10825238882493296,0.06582533872093414,0.07369405308694818,0.07824395387172972,0.0,255.3779,0.7467776616367411,0.12495056705837447,1.1497741034754306e-05,11.240068615170777,256.4521,257.9021,255.7255
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Strawn,natural gas extraction and processing - Anadarko,"coal extraction and processing - Powder River Basin, BIT, Surface",224.27614771181877,4.531081425051869,1.0865250483030664,0.0,0.0,0.14926374684669136,0.12008994264737514,0.10148559466521077,0.06477690539541395,0.06270251373322924,0.09385123759889201,0.0,258.499,0.8063840306902554,0.12252502799907686,1.0903152405970604e-05,11.885524237698489,259.5676,261.0851,258.8266
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Piceance,Electricity; at user; consumption mix - Public Service Company of New Mexico - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Fort Worth,"coal extraction and processing - West/Northwest, BIT, Underground",226.15686724103148,3.973729798351224,0.4071948226812113,0.0,0.0,0.12228004547585111,0.10636953997098904,0.10498782485603197,0.06649045680328809,0.05997271373001298,0.0503888991688947,0.0,222.6766,0.5396715061905187,0.10796956172622191,9.229419306902856e-06,8.723458535452686,223.5864,224.6068,222.9672
