elec120V_cmu_plant,natgas_cmu_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"CMU, normal-weight, A1-A3 q_cement",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Uinta,"coal extraction and processing - Northern Appalachia, BIT, Processing",201.58695972782553,0.16358584998823789,0.16793159405692829,0.1185906002848439,0.054709239827771525,0.07088757144215257,0.09691316109519307,0.0,339.8916,0.8325024540343107,1.3997181201231779,1.3596710517518881e-05,12.138580141195089,349.3197,373.7619,348.0142
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Uinta,"coal extraction and processing - Northern Appalachia, BIT, Processing",167.88074220446128,0.1063154044689882,0.17197983845694834,0.11043626895175786,0.06244477286075494,0.06294044684212675,0.0979220103438358,0.0,302.9361,0.7406575860678115,1.393399476969533,1.3027534665458297e-05,11.128810841420805,312.0244,336.0366,310.9123
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Uinta,"coal extraction and processing - Northern Appalachia, BIT, Processing",169.08341807537138,0.12979383375263423,0.11058235640448794,0.09917039243356346,0.06806568789597962,0.05730917203839629,0.08528037118207861,0.0,299.1886,0.7040409691463947,1.39308304806316,1.296425890309864e-05,10.866512614471153,308.1884,332.0713,307.1328
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Uinta,"coal extraction and processing - Northern Appalachia, BIT, Processing",158.00891382558962,0.1343820599873463,0.13603232378737187,0.11163286413664451,0.06668473851811488,0.0664078734748876,0.10652267599183987,0.0,302.4383,0.755404576021606,1.3943671101764719,1.338080265270657e-05,11.33256455967573,311.5828,335.6634,310.4369
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Uinta,"coal extraction and processing - Northern Appalachia, BIT, Processing",172.76818529487988,0.1497229840535745,0.13230171026471793,0.12291367949325048,0.06189918545185527,0.07328077253246318,0.10335539677336511,0.0,316.9822,0.7884543275026281,1.3975584629414295,1.3731744395465664e-05,11.720352597273488,326.2416,350.4689,325.0288
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Uinta,"coal extraction and processing - Northern Appalachia, BIT, Processing",172.58245942802387,0.10536282597425804,0.15144983422752314,0.10849580669695356,0.0629081955280326,0.06363658909263187,0.0977650109419862,0.0,307.2915,0.7520919825374521,1.3943940604556482,1.3137374718466413e-05,11.248857135516417,316.4133,340.4705,315.2808
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Uinta,"coal extraction and processing - Northern Appalachia, BIT, Processing",182.4153380733664,0.1422912643120274,0.1506114426423232,0.11453507732329933,0.06308358822548074,0.07652910722984935,0.09899249576986174,0.0,323.5773,0.7979516078107695,1.399634737842357,1.3980441710605682e-05,11.855970020559612,332.8598,357.1187,331.6319
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Uinta,"coal extraction and processing - Northern Appalachia, BIT, Processing",160.02495095652165,0.10702898578361034,0.12866091609412342,0.1181249879672662,0.062331403757993065,0.07011284172669487,0.09268706053447041,0.0,294.5455,0.7097176115529634,1.3936046907886117,1.3244771074267627e-05,10.912028359460725,303.5333,327.4101,302.4785
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Uinta,"coal extraction and processing - Northern Appalachia, BIT, Processing",164.82333080555975,0.13899619386698542,0.13037789808842037,0.1065812560940003,0.063741977066328,0.07168542855099647,0.10111646367963968,0.0,306.6496,0.7564825581304088,1.3954384861092213,1.3474922306031949e-05,11.382587318653123,315.8032,339.893,314.6528
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, WC, Surface",183.41794122563908,0.11227353424264122,0.1493138653249639,0.10574185068306358,0.06401223105965978,0.06570752554512256,0.09129055203357034,0.0,314.9441,0.8037961151906531,1.3903612237360605,1.1922517962104484e-05,13.437737726971422,323.5682,346.9818,322.6628
