elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 MPa - national avg, A1-A3 total_cementitious","concrete, 17.2 MPa - national avg, A1-A3 pct_scm","concrete, 17.2 MPa - national avg, A1-A3 pct_scm_flyash","concrete, 17.2 MPa - national avg, A1-A3 q_electricity","concrete, 17.2 MPa - national avg, A1-A3 q_NG","concrete, 17.2 MPa - national avg, A1-A3 plc_boolean","concrete, 17.2 MPa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Southern Appalachia, BIT, Surface",261.80634264080606,0.2,1.0,3.627702193594059,1.2400053857651676,0.0,0.0,0.12892284459590497,0.14903886243464115,0.1074496276680697,0.06779119619324564,0.06380826210518172,0.0804293295405584,235.0509,0.758926038930136,0.12293677418143548,1.0242484326447228e-05,13.030752874101504,236.1843,237.6443,235.4192
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Southern Appalachia, BIT, Surface",260.74068639674186,0.2,1.0,4.192184662202965,0.3166816413864355,0.0,0.0,0.1015611561940473,0.20794006554885003,0.09128656114598989,0.06573860504586654,0.062434512793135055,0.10946483830641873,237.4854,0.7648545868413487,0.11622136279244566,1.0111276332997332e-05,10.152269398686283,238.4039,239.8263,237.7509
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Southern Appalachia, BIT, Surface",260.7990320264511,0.5,1.0,4.396291853489721,1.581804412896599,0.0,0.0,0.11694471878118781,0.15909113678637707,0.11213720465596244,0.07083900460640388,0.08252994820660867,0.07581428748242872,175.1516,0.6389786920423628,0.11859882475061795,1.0308707114597158e-05,12.831453456101604,176.2835,177.4757,175.5197
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Southern Appalachia, BIT, Surface",276.42552112582376,0.3,0.0,4.4366021391379045,1.9892736704578358,0.0,0.0,0.11734512468425709,0.1473267213835917,0.12719166567969845,0.05989928925640749,0.06029753023786695,0.08982740255697945,248.7268,0.8960337845016,0.140066711986842,1.3311605240535492e-05,16.91987649360838,250.0995,251.7376,249.1502
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Southern Appalachia, BIT, Surface",246.57542765710633,0.2,0.0,4.742910345523638,-0.3799984094982517,0.0,0.0,0.15782559545188615,0.11724001377033089,0.12388376063123131,0.06839750776158958,0.06057512844639219,0.09121340171601601,223.2981,0.626998993580907,0.11995434540883158,1.2182805167982566e-05,7.5856133465626545,224.1522,225.4544,223.583
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Southern Appalachia, BIT, Surface",257.0900053135358,0.1,0.5,3.4367628380774113,0.04047385423752303,1.0,0.0,0.12939182090303636,0.1837991234188256,0.09430781091191304,0.06757650776889854,0.06683202443111677,0.10577115131422783,245.6299,0.7511784824565866,0.11929225518098296,1.1019325031106494e-05,9.824564372775297,246.5772,248.1319,245.945
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Southern Appalachia, BIT, Surface",268.32182584136086,0.2,0.0,4.043903802139193,0.6678373999237401,0.0,0.0,0.13892114753595922,0.1647505516472071,0.1292657783908236,0.060955657833910326,0.07154814521938085,0.09207928858258511,251.8635,0.7950674630655397,0.13209679735159374,1.2959061301766722e-05,12.208104607884419,252.9736,254.5154,252.2141
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Southern Appalachia, BIT, Surface",257.59658368467143,0.3,0.5,4.659381089475821,0.23940153185819513,1.0,0.0,0.13208160726443668,0.18650304877253018,0.09963488660695669,0.06136576896593656,0.0714496104307819,0.09331261564027479,203.3343,0.6280266862753159,0.11742558827756096,1.1358197272189232e-05,9.325909901062838,204.2827,205.5948,203.6606
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Southern Appalachia, BIT, Surface",249.61103919224846,0.1,0.5,4.043999702195813,1.834124582175455,0.0,0.0,0.15338470408881297,0.14336115731448715,0.12210703852826982,0.075270889254295,0.06175822098479413,0.09364181965724648,270.7962,0.9398321658414528,0.13494750866888602,1.152939541910214e-05,16.681736593697657,272.1346,273.9223,271.2204
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, SUB, Underground",248.48193515875153,0.0,0.0,4.267825551575512,1.555893088321663,0.0,0.0,0.16361573389830278,0.1107097133077264,0.13756100740872945,0.06572530140286179,0.06139700919348351,0.12167817303660788,303.3978,1.0445589788291683,0.1327100927568312,1.1581207346897583e-05,15.43639110960955,304.6174,306.46,303.7147
