elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 20.7 Mpa - national avg, A1-A3 total_cementitious","concrete, 20.7 Mpa - national avg, A1-A3 q_electricity","concrete, 20.7 Mpa - national avg, A1-A3 q_NG","concrete, 20.7 Mpa - national avg, A1-A3 percent_SCM_replacement","concrete, 20.7 Mpa - national avg, A1-A3 plc_boolean","concrete, 20.7 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, BIT, Processing",293.08443374138756,4.262878597057709,-0.14236942203026104,0.2,0.0,0.0,0.17077895270765825,0.14972330372652076,0.09018936061929728,0.06177016966932786,0.06824255077178734,0.09307252478883053,0.0,265.4134,0.7289976220046012,0.11665040961610786,1.5417980806693927e-05,8.406477798630087,267.6605,270.5074,266.2746
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, BIT, Processing",308.1117271683569,4.525696756000016,2.6474718468626888,0.2,0.0,0.0,0.16164310344349456,0.15748258768892773,0.12565683608848893,0.05939928685850268,0.06495938777847399,0.09528197528792443,0.0,312.6711,1.0938216452795175,0.13922483878270114,1.5941102224323782e-05,19.803314326560308,315.8317,319.1292,313.758
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, BIT, Processing",291.00295207744324,3.881800555347688,2.1270280912126305,0.3,0.0,0.0,0.10482244493120277,0.1411041085315033,0.11375094592689093,0.06321239453510484,0.05890944344766333,0.08064519135140882,0.0,271.2689,0.897794627271341,0.12963450384139213,1.5192459520052458e-05,16.139071289711676,273.8331,276.5253,272.1398
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, BIT, Processing",293.68338497328324,3.3541215379189913,0.49095853930440503,0.0,0.0,0.0,0.14382082286129683,0.15998633233981255,0.12136123655340386,0.06548637942149221,0.05803390046413878,0.10395692940698766,0.0,277.6409,0.8448822938474903,0.12147361823457851,1.5548680183695342e-05,11.080225254585022,280.1708,283.248,278.5808
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, BIT, Processing",289.48633346426874,4.1388200103857455,0.6526435312527118,0.4,0.0,0.0,0.1318708058977101,0.1335095346898184,0.11258890596579291,0.06093048264742559,0.05583539192132543,0.09398319671291883,0.0,265.8028,0.7983980589324247,0.1197050628520654,1.5062134259115968e-05,11.06543624196263,268.1825,271.018,266.676
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, BIT, Processing",302.08749185603784,4.1716607924590505,0.5467695466398875,0.3,0.0,0.0,0.11188420086395864,0.13707166359775014,0.10165938881630464,0.0675274334486471,0.06162783661909416,0.07458855506854924,0.0,256.7475,0.7076624307567365,0.12023178652750674,1.53113894476352e-05,9.951027982328304,258.8469,261.347,257.5111
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, BIT, Processing",306.8586821859668,4.250353193254604,0.516159898528374,0.3,0.0,0.0,0.14236665147661567,0.1880766221730385,0.13235656668355097,0.053691761976271346,0.07340621229268775,0.08046859172021385,0.0,270.794,0.7595169809485816,0.12308959390855112,1.5784304963066915e-05,10.538429314367603,273.0703,275.7914,271.6307
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, BIT, Processing",265.9806619708228,4.005623301711929,1.0809539579338714,0.1,0.0,0.0,0.14296492423335347,0.14204872120864692,0.09856192514379969,0.06032783700975641,0.07945921554519962,0.11763603679362591,0.0,274.4656,0.9179293070653793,0.12435277438922136,1.579804671487143e-05,13.331898391521458,277.1723,280.3347,275.4448
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, BIT, Processing",275.3211242182744,4.19893364719471,0.34239120549967916,0.5,0.0,0.0,0.08377433235558479,0.07717685262390636,0.09856190522160056,0.06009756986726342,0.06768034306899214,0.1021782635786645,0.0,251.3691,0.7544236813051413,0.11623957326813456,1.5160696437967243e-05,9.430895304164595,253.6006,256.3692,252.1936
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Import, BIT, Underground",323.3727950547614,4.353213786649748,0.04077933585068394,0.5,0.0,0.0,0.13189887162052427,0.14157606300560996,0.11180347908748954,0.0738502586157296,0.0828706879470604,0.09986877758981494,0.0,297.8303,0.8787411454082468,0.13950003882496015,1.8920392828817413e-05,10.743287725538195,299.7558,302.3147,298.4344
