elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 34.5 Mpa - national avg, A1-A3 total_cementitious","concrete, 34.5 Mpa - national avg, A1-A3 q_electricity","concrete, 34.5 Mpa - national avg, A1-A3 q_NG","concrete, 34.5 Mpa - national avg, A1-A3 percent_SCM_replacement","concrete, 34.5 Mpa - national avg, A1-A3 plc_boolean","concrete, 34.5 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, WC, Underground",429.2014652054862,4.053149259085145,0.15564249190524515,0.3,0.0,0.0,0.15157885831235593,0.1091776388333552,0.09787670563970814,0.056851598455049016,0.06786793144415823,0.07599920346407775,0.0,306.8495,0.7902485360274245,0.12419327246694463,1.1632336088161026e-05,10.529466548982771,308.4624,312.1418,307.8601
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, WC, Underground",438.462584782906,3.966970463972153,0.7702375849180341,0.4,0.0,0.0,0.12506476010418258,0.13314039155502577,0.09780096988868234,0.06172598946804879,0.05998796770344802,0.10687503720807819,0.0,305.1323,0.9508670666567359,0.12607085976610133,1.1688108103092835e-05,13.410252907375586,306.9668,311.2162,306.2602
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, WC, Underground",398.5575425738506,3.734472325363564,0.20766058337623117,0.5,0.0,0.0,0.14541223918350646,0.16866094980537832,0.10398614301694047,0.07026414509129314,0.06783918166021817,0.09874600061066587,0.0,237.7172,0.7038443727665571,0.11645782792772032,1.1629914303997462e-05,9.625527587678853,239.1557,242.2718,238.5743
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, WC, Underground",412.5564857722575,4.082195480979519,1.905658471831733,0.5,0.0,0.0,0.14748455405290165,0.13909430797021657,0.10164114480962218,0.062079461626316515,0.07105098845870664,0.13335059244051153,0.0,288.4161,1.0637888088908083,0.13114721078488367,1.201994922142281e-05,17.702926157580436,290.4553,294.7875,289.5805
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, WC, Underground",425.31066950663023,4.593676618643299,-0.012742597981847625,0.3,0.0,0.0,0.15905311477302353,0.13656706460432694,0.10301719029721272,0.06043947060127285,0.06461941750120018,0.09741833700147219,0.0,325.0053,0.8994877165319304,0.12503305327164047,1.1946456559576583e-05,10.97414758634195,326.7645,331.1499,326.1616
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, WC, Underground",375.902703936492,3.582143162240207,1.3407082037918538,0.5,0.0,0.0,0.16754691664254404,0.1629696340271121,0.1215709757343854,0.06555438240721916,0.07158093819763475,0.10751940111378058,0.0,248.889,0.8463512396737944,0.1238153611249217,1.1697032805117926e-05,14.216697719246122,250.5911,253.9819,249.836
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, WC, Underground",454.498335292829,4.352058631811985,-0.11669035606135891,0.3,0.0,0.0,0.1696155128427954,0.12845122355217037,0.11152956304943246,0.06436590670596094,0.05469628005787837,0.09635727340454624,0.0,343.52,0.9319966028920337,0.12708132176608286,1.2162808929356501e-05,11.09106913327469,345.3377,349.9728,344.7367
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, WC, Underground",417.6021394409925,4.3298471971949315,2.164403835635961,0.4,0.0,0.0,0.14864764130680358,0.09576119571305193,0.11409806094040545,0.060675774043069904,0.07491325779190394,0.08442768417526626,0.0,298.6277,0.9822352435909418,0.13644959737466636,1.2169203470270133e-05,18.03248480220082,300.5984,304.3393,299.6918
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, WC, Underground",432.07965436595504,3.804244687880596,0.7375585330336494,0.3,0.0,0.0,0.11360092616948783,0.1279847228473921,0.10785465046922339,0.06262935652371888,0.06905030675727188,0.07093744032911832,0.0,306.0009,0.8263206207815569,0.12961789078616123,1.197807761240554e-05,12.446650176489014,307.6811,311.2015,306.9855
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Balancing Authority of Northern California - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Green River,"coal extraction and processing - Southern Appalachia, BIT, Surface",455.40925829365875,4.9075138765096495,1.5044269236780958,0.5,0.0,0.0,0.1050774504966014,0.1365172906710828,0.12802974955940546,0.05917816958352865,0.07378330950244856,0.10177461879194273,0.0,263.4689,0.8828001240122227,0.11954359842230669,1.0706202436493769e-05,14.065235886272877,264.6626,266.4641,263.8635
