elec_steel_fab,elec_steel_rolling,steel_billet,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, rebar.wf","fabrication, rebar.elec","fabrication, rebar.trans_co2","rolling, billet.elec","rolling, billet.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Import, BIT, Underground",0.03723637023569186,0.20746906948977556,0.05242890958710425,0.14050021934160853,0.9181072895762143,0.9854058050865473,0.01427425749679506,0.5519304750610704,0.010473793503686187,0.5257466796487765,0.11961164785710389,9.476392740407002,1.2677167500918798,0.009592706048111297,0.025260337572652773,0.07492931007216364,0.13520945609279733,0.051645231103775904,0.07663731053367731,0.8439211223752952,0.14235079317110225,0.23458389325860418,0.4705,0.0,0.0,0.0023535362585099954,0.0009491695504419525,1.0299154133799494e-08,0.032408422761041715,0.478,0.4882,0.4751,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,Electricity; at grid; consumption mix - California Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.02200532144415608,0.1787724086918126,0.04612059528599786,0.1602268081679374,0.943377581250185,0.9777536005037172,0.012061936871650466,0.573420688428961,0.009519676982531212,0.4820103326418937,0.1224110975326994,9.858322515146961,1.3084780674004952,0.01022994207994111,0.0465845756802725,0.10097997767702305,0.08394686711158719,0.07422062404683571,0.07771029692992784,1.1866395200629494,0.1203872892437989,0.34737343844827384,0.4302,0.0,0.0,0.0022307074987021336,0.000933690881340514,9.731825183046142e-09,0.033116050936111766,0.4374,0.4468,0.4346,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,Electricity; at grid; consumption mix - California Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.02796132255627038,0.1948184767621241,0.04342258393961871,0.15191079432885954,0.8763710820812363,0.9689546556701566,0.020893740982030496,0.48901954790589175,0.010321410263173406,0.5050990163969502,0.11551983590951866,10.239935835653503,1.363995522093043,0.010442388033917465,0.026828313990815096,0.07266514591843122,0.07789843575869286,0.0566761708795865,0.0720692175236858,1.2150589244929242,0.13389888127147231,0.48170923996751724,0.427,0.0,0.0,0.0022376649640935037,0.000938675141671999,9.843920282440264e-09,0.03295129200560526,0.4342,0.4434,0.4313,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,Electricity; at grid; consumption mix - California Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.022333455103713068,0.19154709778349266,0.057951484717798346,0.1597028179821987,0.7811975257710196,0.9805283018881568,0.010601654144627224,0.46278359457318335,0.010467057407131893,0.5110949298347911,0.12598388926083567,10.268288154165742,1.2743704632217787,0.009749537726451585,0.030133658868531442,0.2637271722807281,0.10106292524088617,0.07964322570869597,0.05475668530019949,1.250296458648433,0.1023041504195207,0.2722560280068594,0.4347,0.0,0.0,0.002218568596688625,0.0009330733159960894,9.79405887547572e-09,0.03258704315537067,0.4418,0.4508,0.4389,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,Electricity; at grid; consumption mix - California Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.03299718030658344,0.16960198167631135,0.05962877896892635,0.14155120027895393,0.8752005488240888,0.9670382902466503,0.012160666215611352,0.5462866979400478,0.010025092053203222,0.48632709527393014,0.12282289531930257,10.393053184193215,1.3038104584263253,0.010312047572236591,0.02867067833510868,0.08678884617242508,0.11642546071071892,0.06147119404891377,0.05904563445638038,0.922309162031645,0.1496904084285475,0.46357128044245266,0.432,0.0,0.0,0.002225077358610076,0.0009416035727933725,9.747470142896676e-09,0.03244704138823367,0.4391,0.4481,0.4362,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,Electricity; at grid; consumption mix - California Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.018343513856633686,0.20281501005695202,0.05082510073233893,0.13935492658843274,1.0396080926974787,0.9632105188156275,0.03095177006772016,0.645387351924748,0.009825492938905053,0.4942396707193729,0.12412795673025298,10.009296691989661,1.2924984813721037,0.010447722815243999,0.027819475498841655,0.11157579601984194,0.06600350086473859,0.0376886390345319,0.10232238500277187,1.1551096701459436,0.13834732086335427,0.27220059283475456,0.4414,0.0,0.0,0.002232575819302051,0.0009309742453678069,9.77531190369045e-09,0.03305900674954195,0.4486,0.458,0.4457,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,Electricity; at grid; consumption mix - California Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.033179591987766266,0.18558904805320187,0.05072878414203776,0.1539342255653087,0.9287417221761396,0.9748498194094547,0.03446692705174761,0.4294114621876919,0.010373190283917337,0.5174256536378518,0.11415802676671699,10.081463760577575,1.3451732920596566,0.010121692885204231,0.03561167281301422,0.1746208369638495,0.08955156955337563,0.07415294724676122,0.07173210010553512,1.0164562477848014,0.11780221589117097,0.3295199103482933,0.4373,0.0,0.0,0.002251150958796039,0.0009436022134222035,9.849247203882397e-09,0.03327694562812389,0.4446,0.4539,0.4416,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,Electricity; at grid; consumption mix - California Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.027956635540297495,0.19759181136572165,0.056352678910542,0.14769241352292262,0.8109328994007868,0.9777606884096041,0.010774519437366603,0.4376682632404652,0.01018372702195569,0.5265180038715497,0.11554440308546464,9.658916072449772,1.2745238630133582,0.010003855017079986,0.04465826661711327,0.26304210851531595,0.06179876931436204,0.0542435081644006,0.058787537798644346,1.0224713460725763,0.1417150582861925,0.40874089337345365,0.4346,0.0,0.0,0.0022279049565888335,0.0009379704329044409,9.848815248407835e-09,0.03257513709181743,0.4417,0.4507,0.4388,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,Electricity; at grid; consumption mix - California Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.03683163194207809,0.1851655066851646,0.05791347214540968,0.13350984872705474,0.8508990395175327,0.9818910125716225,0.015081817930239159,0.5378434987269477,0.010230179343934824,0.5075050573074926,0.12564070613410788,9.731600675034445,1.2413112090838947,0.00966147228783755,0.03639376592310121,0.1473809529362031,0.09165713352080337,0.05257342732350738,0.06218336392546438,0.99878111931154,0.14490387250076006,0.48114001936079875,0.432,0.0,0.0,0.0022326435887242988,0.0009450198661582319,9.839224568925538e-09,0.03239555067707397,0.4392,0.4481,0.4363,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,Electricity; at grid; consumption mix - California Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.048531467252011046,0.183286282577818,0.04747505430032743,0.1528017740492284,0.7861507901821911,0.9745796085466102,0.04087530434030248,0.5162003702756395,0.010460895998484819,0.4947616123137124,0.12148816018319486,10.027149946242126,1.3038230672624649,0.010385850142724952,0.028680169853492858,0.15102163583772896,0.06120060286635798,0.06914266984813563,0.05390936123996336,0.954657249677898,0.13833835683726678,0.4072979922507536,0.427,0.0,0.0,0.0022628514057619195,0.0009560884349014324,9.968807601817903e-09,0.033054048157476354,0.4342,0.4433,0.4313,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steel production, EAF",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Green River,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Illinois Basin, BIT, Underground",0.02330136688779549,0.1854778982227231,0.042772442637488584,0.1342265532589056,0.9266045805518769,0.9723050354303796,0.027419425161325395,0.4488069144127116,0.010063753860444504,0.5071804885021091,0.12382478864419713,10.267769399341105,1.2531096214899091,0.009782314949033416,0.03443032820511106,0.15620372489206236,0.08795879597821696,0.05810944931171779,0.08593421734726789,0.9084794012407016,0.11216759779521038,0.3116798688893625,0.5058,0.0,0.0,0.002580038742494135,0.0009482648194632634,1.0998578033652923e-08,0.03890571726515411,0.5136,0.5237,0.5104,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steel production, EAF",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Green River,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Illinois Basin, BIT, Underground",0.029207639790229056,0.19271248989930134,0.05012152935744875,0.14873896166515668,0.7907192005746065,0.96901223879914,0.014542676770580642,0.42649241831963924,0.009504954898270994,0.5028922585153138,0.1230896525994705,10.138530133661199,1.3268963534500782,0.009889271585727747,0.029332806562966333,0.2282214685555378,0.12430139389392618,0.09219194675051431,0.04774272413490924,1.1143230396613786,0.1362006573569468,0.3184279603682604,0.5189,0.0,0.0,0.0026152995691697796,0.0009544931326880245,1.1215709188500023e-08,0.03940535588184406,0.5268,0.5369,0.5235,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steel production, EAF",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Green River,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Illinois Basin, BIT, Underground",0.030057268352543916,0.19747874400060272,0.04211209648512282,0.14979801077732718,0.9040576050286678,0.9642581183928531,0.02749061178391001,0.5690504776730294,0.009755066475078952,0.5218045339640462,0.11536742126441632,9.722245904621548,1.2733071272117564,0.01037050641172015,0.041219253317339874,0.16836840884496457,0.051052363736778364,0.1113535729295031,0.09583819830810414,1.182092668403211,0.10942249849613561,0.39958631679959966,0.5231,0.0,0.0,0.002641454912819391,0.0009567905987316523,1.1266932877181823e-08,0.04014957293902457,0.531,0.5415,0.5278,mca
