elec_steel_fab,elec_steel_rolling,steel_bloom,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, heavy sections.wf","fabrication, heavy sections.elec","fabrication, heavy sections.trans_co2","rolling, bloom.elec","rolling, bloom.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - Turlock Irrigation District - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Northern Appalachia, WC, Surface",0.0721815571355683,0.17836308118980765,0.04618474942431263,0.0420550918466525,1.0127374510310896,0.8603292878147034,0.029693982995845934,0.530368159734084,0.009734109005681377,0.5142443974589814,0.11983502071312517,10.071821413122903,1.2730545527707804,0.010311438088908659,0.026755446440558762,0.14502569741575577,0.11108891032087931,0.06960899085916178,0.07601987084198633,1.0108327850641559,0.09380257858352775,0.2910506851441637,1.0097,0.0,0.0,0.0014349318339913074,0.00012233304700672406,1.9397702304233433e-08,0.02853971020288212,1.0283,1.0485,1.0189,mca
Electricity; at grid; consumption mix - ISO-NE - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Southern Appalachia, BIT, Surface",0.06383190870766575,0.1941729107054135,0.05648654597099183,0.04354433159885854,0.9870925735365985,0.8780059161666969,0.010412076438269056,0.5254857626576448,0.009907718257138067,0.4947805695675319,0.11684706622269557,10.198512154611478,1.2670309517769005,0.009823966671137132,0.031034335876481314,0.1802892856174197,0.10194687146252987,0.04042167551133535,0.05005585914998724,1.1136127512800957,0.12111107633361057,0.24147509069845535,0.8247,0.0,0.0,0.0011692662003064045,0.00012178688451692872,1.551907130844194e-08,0.0363590151467857,0.8342,0.8437,0.829,mca
Electricity; at grid; consumption mix - ISO-NE - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Southern Appalachia, BIT, Surface",0.03984223509255453,0.19446002968410417,0.04456198232236198,0.03492095972627095,0.7466357630350172,0.8904802282970177,0.02316211368527793,0.5084650639637123,0.01010891805610554,0.5165603185626807,0.11627895378763099,9.649497564044148,1.3533480268517122,0.01024343965075379,0.03592031456995452,0.11028436740313073,0.12487681683130333,0.10222332362887757,0.06202848998853916,1.1656139822281566,0.12943014125553778,0.5505383143054955,0.795,0.0,0.0,0.0010775951133314315,0.00011457123308942965,1.4984474037060063e-08,0.03355264763226675,0.8036,0.8123,0.7988,mca
Electricity; at grid; consumption mix - ISO-NE - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Southern Appalachia, BIT, Surface",0.04320864623034887,0.18762209600716284,0.059667627106553975,0.036189568078124595,0.8509458874664595,0.909527189315347,0.02654286896739356,0.6490821672313141,0.010323908526225679,0.5129434801968167,0.11773638222152173,10.041478080053531,1.255786435450166,0.009908878368695626,0.029448144570373484,0.18874941560564035,0.08215827986773527,0.05904148874857481,0.08198539909923677,1.24865475860217,0.12139450797105117,0.3333409906480933,0.8183,0.0,0.0,0.0011885551446081564,0.0001223046946642561,1.519777890718348e-08,0.03820521014835513,0.828,0.8378,0.8227,mca
Electricity; at grid; consumption mix - ISO-NE - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Southern Appalachia, BIT, Surface",0.06667338433715826,0.20740838198750336,0.04026395163338752,0.04352802506212084,0.7596760284001215,0.8480563643933287,0.01326999945816719,0.44720463250603293,0.010098711128058664,0.4844814032052754,0.11929661231533817,9.91610888106137,1.264200305595973,0.009556144366054127,0.037685911766501545,0.07783638782428108,0.07328720031054702,0.08198772867979814,0.05098534155248004,0.9399802892834545,0.12874948271185485,0.3842222355332239,0.8171,0.0,0.0,0.0011152320621651906,0.00011871977206869734,1.5621073630323278e-08,0.03373747775087208,0.8258,0.8347,0.821,mca
Electricity; at grid; consumption mix - ISO-NE - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Southern Appalachia, BIT, Surface",0.0749739874037897,0.20544952350117393,0.04629062811910321,0.04270999955177314,0.9352664153920114,0.8132545020720667,0.010782444230117635,0.39302101543743134,0.00965060958281205,0.4879597987234133,0.12467699388415772,9.83139634537832,1.3395863364804428,0.009952796888300993,0.0249782145307318,0.13035399207790294,0.07780342155509604,0.09505721589131645,0.10321498658038156,1.0453377247768725,0.13151950356055542,0.435150530629821,0.9148,0.0,0.0,0.0011389208760016567,0.00012139342117332576,1.5764447395095214e-08,0.03388879235273858,0.9237,0.9328,0.9187,mca
Electricity; at grid; consumption mix - ISO-NE - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Southern Appalachia, BIT, Surface",0.03467750513210703,0.2013110953824925,0.05607606355018833,0.041239453347390126,0.9046895345753666,0.8598723810438634,0.03526147638769724,0.5272795494297831,0.010119060787048235,0.5210205400846747,0.12557890528714574,9.799588444305522,1.2776536730774115,0.010158307302522292,0.030377781970178982,0.22301263317165299,0.08091879631844767,0.08816096347372852,0.09520665152157644,1.176194411894334,0.13037534479839424,0.2865531085080348,0.8572,0.0,0.0,0.0011570321470398273,0.0001205617430172205,1.5242251186685356e-08,0.03581894189090297,0.8664,0.8758,0.8613,mca
Electricity; at grid; consumption mix - ISO-NE - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Southern Appalachia, BIT, Surface",0.0608871619814484,0.20485765800481076,0.05373863364538295,0.041193314861349084,0.7850367932560912,0.8974689167656373,0.011338612096538001,0.45162538907212224,0.00996832750864078,0.4941197516312133,0.12235840584958133,9.408055215754718,1.3283881311043066,0.009609412945695716,0.03556399618284306,0.03813222435621735,0.07695013862621711,0.08809848673156448,0.053776757303317935,1.0513266607672467,0.12375690850185159,0.268458940443407,0.7426,0.0,0.0,0.001066192114263045,0.00011396222691770867,1.5279649330901374e-08,0.032687800512272706,0.7511,0.7596,0.7464,mca
Electricity; at grid; consumption mix - ISO-NE - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Southern Appalachia, BIT, Surface",0.06735554970716608,0.21188009240537917,0.04416740549159962,0.03350279260303411,0.9123438346820167,0.8060936679903303,0.018888869928966046,0.4304609494664487,0.010289216973801104,0.4932852305531382,0.11962687101079597,9.549891830193976,1.3076322029123193,0.010129542937094354,0.020020675894939513,0.15008884781591836,0.11844016001967371,0.07591159948864565,0.07932571588670859,1.175783998255763,0.1170388896757473,0.25694552544999094,0.9152,0.0,0.0,0.001149380428404658,0.00012266256585529703,1.5663913266897613e-08,0.034641098472382434,0.9244,0.9336,0.9193,mca
Electricity; at grid; consumption mix - ISO-NE - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Southern Appalachia, BIT, Surface",0.01759030728357533,0.17835529934724081,0.04815427535434957,0.043374361410073795,0.9076909805785569,0.8290315529231945,0.03396272172664026,0.48566804800425944,0.010422316275544513,0.5042474418534979,0.11565629481537221,9.55173636637746,1.265196253483252,0.009738704425759508,0.028310857921745775,0.2047583848565915,0.07389192485233306,0.030987320407456012,0.07666770871082847,1.3431272604976732,0.11498527231169142,0.2998168952002437,0.9,0.0,0.0,0.0011225803593192224,0.0001178404282554915,1.494795481585488e-08,0.034228232903250666,0.909,0.918,0.904,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"coal extraction and processing - West/Northwest, SUB, Surface",0.03487582587788189,0.20300165397324224,0.0448828542001036,0.03356504366784707,0.9793939838372441,0.8934217543347529,0.02478127987429548,0.3997051301654511,0.00997568246507644,0.5302973027785123,0.12562947278279007,9.698740007295871,1.2843509783605906,0.009758571114942294,0.029027148930719667,0.0712126847377957,0.14857980933577664,0.10178019539794371,0.0996194160976695,0.947573834448957,0.12312290995626785,0.3304104021431945,0.7471,0.0,0.0,0.0014528995805985043,0.00011570933563590256,1.7469160143141488e-08,0.031163487830496616,0.7557,0.7642,0.7509,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"coal extraction and processing - West/Northwest, SUB, Surface",0.04998852315138047,0.2128063303166013,0.044619552745331054,0.03562995112940262,1.0081334509549016,0.8585278034062709,0.02600361215434383,0.6874223662407025,0.009523993025745074,0.5259097767257219,0.12483457231008818,9.597662864179275,1.3426864291566742,0.009690542406029437,0.03270699827777364,0.18142521211462104,0.07441828122121293,0.05182993219920167,0.05698253390118581,1.4059480090007754,0.1348930785747884,0.24446515841854255,0.9441,0.0,0.0,0.0018641434325703103,0.0001367843009806515,2.0215008860435644e-08,0.03886548767297764,0.9547,0.9654,0.9488,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"coal extraction and processing - West/Northwest, SUB, Surface",0.06673455485128141,0.1998439010753662,0.044582040952302254,0.04392259706641323,0.7704033333232703,0.8108062101064136,0.042628945272965506,0.5455269623238913,0.010298968669607455,0.4956705781952869,0.1206156064795846,9.7378315361606,1.3230671865774386,0.009735302649481749,0.021180650380443793,0.13497657510326147,0.13154915254195554,0.06471786444146813,0.09309901262460929,1.3426176462364217,0.1317992857490955,0.2808452881935238,0.899,0.0,0.0,0.001765213434237771,0.00013501122042956993,1.9477179707384455e-08,0.03788361428899564,0.9094,0.9201,0.9037,mca
