providers_electricity,providers_heat,providers_slab_steel,providers_iron_forEAF,providers_iron_forBOF,providers_naturalgas,providers_coal,"galvanizing, continuous e_elec","galvanizing, continuous w_zinc","galvanizing, continuous w_steel","hot rolling, slab elec","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - East Texas,"coal extraction and processing - Illinois Basin, BIT, Surface",0.28794231286076133,0.472,3.57,0.04212491590555067,0.49646045204145245,0.039707646761858464,0.4719949340506933,0.14342881584457468,0.07920491511515751,0.9538559173702109,2.5256,0.0115155534549769,0.006208703818396529,8.170411211711439e-08,0.17243978915344224
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, SUB, Surface",0.38320479183255307,0.275,5.96,0.0375223541735232,0.6311412258282243,0.030964101336726717,0.4967367568976013,0.15191814386576746,0.08651195108560794,0.9549599937121254,1.4736,0.006047740208136309,0.003025777094468604,4.037402980474569e-08,0.11542411874528245
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, BIT, Processing",0.3891137898526094,0.275,5.96,0.03474046476596717,0.6089838631278548,0.04947955873792968,0.4937680517103472,0.14850407824851053,0.06412935162873215,1.0617611619576621,2.4861,0.008946089825193494,0.005101511290558082,8.013649942642113e-08,0.13522856121846683
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Underground",0.2998469353625372,0.275,5.96,0.04335214688847483,0.6104433534209718,0.033435266133930025,0.656756696741373,0.15259991172866882,0.10446110415207394,0.8393614208426352,1.5628,0.005480907523168729,0.0030201420150322024,4.1129888113925656e-08,0.10522692102580604
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, WC, Surface",0.2828853889705129,0.275,2.97,0.040378887659208454,0.6396690726640235,0.019086794599269846,0.4647613028949128,0.14466419781847412,0.07434950373657902,0.9080300215518933,2.2436,0.009409395076485404,0.0048152527612560295,6.947882308981793e-08,0.14728077657800168
Electricity; at grid; generation mix - Los Angeles Department of Water and Power,"heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Processing",0.3233111248338291,0.183,5.96,0.038044713078347656,0.5744886017179461,0.04397658002537892,0.504879091626196,0.15652885971887245,0.09296228499725409,0.8072100635503963,2.1507,0.006705763405872268,0.0027491368711717716,5.710154724620582e-08,0.12779374779376373
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - East Texas,"coal extraction and processing - Northern Appalachia, WC, Processing",0.406095002545169,0.472,3.57,0.040969989014938354,0.5878353434946456,0.013074051433209118,0.4575891957679286,0.15567054559057633,0.09657910630257008,1.082187629020687,2.7129,0.011518502344802313,0.007781269627700303,8.675702753045714e-08,0.15650746309058675
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Gulf,"coal extraction and processing - Southern Appalachia, BIT, Underground",0.34299426427626956,0.275,4.76,0.03989624015367074,0.7168899209564701,0.04426570787882208,0.5494547517879653,0.152138829739377,0.0846327132598758,1.002045943540784,2.212,0.00853944938538274,0.003609254453213579,6.222955758531046e-08,0.15318724231678196
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.37328675744319584,0.275,2.97,0.0383135487905112,0.5588997166218908,0.04570001849227917,0.4614377424363622,0.15412007300532532,0.08870762688670666,0.9879680493584806,1.7332,0.00793383538558658,0.004635755912529684,5.791269225005582e-08,0.1268484940052884
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Green River,"coal extraction and processing - Northern Appalachia, BIT, Surface",0.28241994785769753,0.183,5.96,0.04495215874427276,0.6835446759553073,0.02820689755911797,0.571346605623439,0.1569512308257715,0.0736749591926383,0.959832119047779,1.3551,0.00467153506337567,0.0023948706242428244,3.7241108763604335e-08,0.08357538251637127
