providers_electricity,providers_heat,providers_bloom_steel,providers_iron_forEAF,providers_naturalgas,providers_iron_forBOF,providers_coal,"fabrication, heavy section wf","fabrication, heavy section elec","hot rolling, blooms elec","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
Electricity; at grid; generation mix - Public Service Company of New Mexico,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Underground",0.05759662,0.076075202,0.039961642,0.855827354,0.025567056,0.548926894,0.139546859,0.123542562,0.9940215,1.4896,0.003336819,0.001190832,3.67E-08,0.077303097
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.073312927,0.076920867,0.037356296,0.870963468,0.038707996,0.540328438,0.158353511,0.116110296,0.922231241,1.2239,0.00353305,0.001186134,3.32E-08,0.068903905
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Surface",0.070033387,0.074749407,0.038630847,0.828049114,0.041992024,0.548496271,0.14775697,0.094860288,1.042934964,1.0819,0.003188194,0.001128152,2.96E-08,0.068085634
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, WC, Surface",0.054081937,0.074791375,0.034484484,0.824383374,0.048437031,0.487125329,0.152911554,0.098493228,0.853146581,0.8438,0.002408579,0.001075069,2.22E-08,0.051758992
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Surface",0.063499684,0.076664541,0.040526039,0.819027565,0.046496201,0.587598346,0.14733584,0.110672245,1.02067946,1.4021,0.004449299,0.001278451,3.66E-08,0.093068247
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Underground",0.069642933,0.074532537,0.034872934,0.874157447,0.033050416,0.471525315,0.147976687,0.105962233,0.969197709,1.2363,0.003612298,0.001186325,3.27E-08,0.073054627
Electricity; at grid; generation mix - ISO-NE,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Surface",0.064592336,0.074917677,0.036237521,0.876156253,0.032286873,0.51311856,0.149014053,0.097725408,0.865113333,0.8019,0.002127255,0.00106967,2.15E-08,0.053340617
Electricity; at grid; generation mix - Salt River Project Agricultural Improvement and Power District,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Lignite, LIG, Surface",0.056889657,0.075977496,0.033293943,0.880857197,0.039536551,0.569482644,0.151937656,0.064899746,0.998882325,1.0193,0.002750911,0.001144214,2.59E-08,0.061509191
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.072589,0.075564976,0.034187596,0.861377901,0.019632994,0.607619123,0.146325306,0.137678034,0.75302585,0.9936,0.003103892,0.001118287,2.25E-08,0.073457002
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Processing",0.07931658,0.077318497,0.03788889,0.844364428,0.017609154,0.451203886,0.150321451,0.08697118,0.915776275,0.8712,0.00243248,0.001096295,2.17E-08,0.052637763
