providers_electricity,providers_heat,providers_bloom_steel,providers_iron_forEAF,providers_naturalgas,providers_iron_forBOF,providers_coal,"fabrication, heavy section wf","fabrication, heavy section elec","hot rolling, blooms elec","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
Electricity; at grid; generation mix - New York Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.060775903,0.075227442,0.039057968,0.830136401,0.038710409,0.511495701,0.15907887,0.139724209,0.9540545,1.0005,0.003047428,0.001205527,2.41E-08,0.066160248
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.064261176,0.076209016,0.033951244,0.830152239,0.035861348,0.453029862,0.149154189,0.092693445,0.969729476,1.2262,0.003389142,0.001224343,2.85E-08,0.074773171
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Processing",0.05435078,0.075357843,0.043043759,0.80471933,0.029347563,0.503885548,0.148294383,0.135418451,0.864710814,1.1769,0.003475766,0.001233616,3.00E-08,0.067342612
Electricity; at grid; generation mix - Florida Power & Light Co.,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Underground",0.074155509,0.075644375,0.035801828,0.817292124,0.013686883,0.643897766,0.145678555,0.070642502,0.995803666,1.1795,0.003394238,0.001250242,2.47E-08,0.078065315
Electricity; at grid; generation mix - Bonneville Power Administration,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Gulf Lignite, LIG, Surface",0.082373926,0.076291871,0.043787423,0.836772741,0.010473499,0.53389531,0.14636527,0.082085306,0.942979406,0.8403,0.00270229,0.001198313,2.54E-08,0.05678421
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Surface",0.066168013,0.076800428,0.03973254,0.859882995,0.029773227,0.531407076,0.147502462,0.090715089,0.95796637,1.1358,0.003247859,0.001179303,2.75E-08,0.064939263
Electricity; at grid; generation mix - South Carolina Public Service Authority,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Underground",0.063723454,0.076417058,0.039465151,0.828304351,0.041539138,0.562480751,0.151933274,0.060147306,0.899828617,1.2884,0.002611443,0.001105708,3.25E-08,0.058140252
Electricity; at grid; generation mix - Bonneville Power Administration,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, WC, Surface",0.07548938,0.07549987,0.035525093,0.829262324,0.011240892,0.653680012,0.150183169,0.141498394,0.909086591,0.8561,0.002751682,0.001201969,2.59E-08,0.0577442
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Surface",0.050937545,0.075931494,0.038706861,0.86566418,0.04729835,0.60018765,0.142313725,0.104877748,0.853995984,0.9683,0.002907929,0.001161761,2.24E-08,0.075701744
Electricity; at grid; generation mix - Public Service Company of New Mexico,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Surface",0.062372358,0.077483781,0.038608509,0.810248041,0.046969735,0.437766758,0.148828825,0.119951852,0.910277472,1.108,0.002497629,0.001107283,2.95E-08,0.06273616
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Arkoma,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.080529739,0.074944729,0.034800863,0.887450059,0.019831346,0.517594232,0.144904271,0.096186228,1.000044357,0.9151,0.002473883,0.001075298,2.16E-08,0.053825515
Electricity; at grid; generation mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Processing",0.06867788,0.074053735,0.03678095,0.866522429,0.047499744,0.585737286,0.144377029,0.071620443,1.024173106,1.514,0.003519022,0.001190454,3.16E-08,0.070782323
Electricity; at grid; generation mix - New York Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.063107689,0.076879518,0.04294342,0.838594387,0.030026394,0.441594709,0.159087523,0.103926741,0.893068584,0.7137,0.002141773,0.001078131,1.71E-08,0.05274527
Electricity; at grid; generation mix - PacifiCorp East,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.074731807,0.074694986,0.036559994,0.874922631,0.01794447,0.546400735,0.158005367,0.07616953,0.852817145,1.2087,0.003434944,0.001126031,3.10E-08,0.084358493
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Uinta,"iron production, blast furnace","coal extraction and processing - West/Northwest, WC, Surface",0.053260485,0.07470439,0.041045532,0.887770448,0.023336287,0.565893958,0.146076175,0.056707857,0.755962193,1.0802,0.003098777,0.00107596,2.86E-08,0.066321674
Electricity; at grid; generation mix - South Carolina Electric & Gas Company,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Underground",0.089185015,0.076308622,0.035643036,0.90209232,0.038857163,0.432534589,0.150256489,0.097397138,0.943252455,1.0012,0.002668608,0.00114277,2.42E-08,0.057546461
Electricity; at grid; generation mix - Duke Energy Progress East,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Import, BIT, Underground",0.056679897,0.076590643,0.038129574,0.878267921,0.044294429,0.586756992,0.154698691,0.129733916,0.958958811,1.0268,0.002894816,0.001148583,2.73E-08,0.061296585
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Import, SUB, Surface",0.065529086,0.076403431,0.03651721,0.815167836,0.043151055,0.444051691,0.153032151,0.084865305,0.869142021,1.192,0.003840356,0.001255035,2.95E-08,0.081379932
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - Import, BIT, Surface",0.063667788,0.075094824,0.042560819,0.84346656,0.039230329,0.477449644,0.146315269,0.118925065,0.996657258,1.2701,0.003782784,0.001213836,3.44E-08,0.075755008
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Surface",0.0564836,0.075285171,0.036404437,0.849078169,0.023349318,0.53759998,0.149956303,0.074892232,0.893154987,1.1815,0.003215594,0.001189204,2.77E-08,0.070511343
Electricity; at grid; generation mix - Florida Power & Light Co.,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Central Interior, LIG, Surface",0.066449773,0.076180976,0.040532136,0.875307944,0.041667774,0.550709589,0.163323052,0.086212201,0.938893394,1.02,0.002912045,0.0011653,2.14E-08,0.068752197
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Underground",0.089465146,0.075446341,0.039451949,0.836179707,0.014479119,0.587299491,0.148625916,0.144125502,0.818434802,1.1338,0.003310365,0.001142063,3.07E-08,0.070763887
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, WC, Surface",0.075406351,0.074917856,0.040919948,0.865048929,0.023948165,0.533086867,0.151548158,0.074577016,0.880519256,0.9115,0.002508771,0.001082684,2.20E-08,0.053558752
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Processing",0.054080525,0.075057637,0.043169447,0.794235348,0.01312301,0.576376901,0.148406398,0.098178585,0.823290182,0.9935,0.002599959,0.001112725,2.27E-08,0.062544954
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Underground",0.08251669,0.07559614,0.03488756,0.909147677,0.019814076,0.532353189,0.138707734,0.102302114,0.916316521,0.9781,0.002983588,0.00110083,2.17E-08,0.070466019
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Surface",0.088949264,0.07569101,0.03696589,0.837896585,0.021004639,0.48880526,0.14820667,0.11071027,0.895414229,1.0491,0.003103353,0.001131711,2.89E-08,0.066954558
Electricity; at grid; generation mix - New York Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Gulf Lignite, LIG, Surface",0.059596514,0.075145126,0.041919988,0.8537106,0.04514153,0.481352001,0.150463554,0.139508573,0.986435715,0.9569,0.002884351,0.001178644,2.28E-08,0.063330665
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Gulf Lignite, LIG, Surface",0.070946063,0.074315419,0.041389286,0.860136971,0.039458518,0.628916381,0.148730128,0.124824025,0.868507521,0.9647,0.002608239,0.001090621,2.27E-08,0.055473069
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Surface",0.089427446,0.077675955,0.034326862,0.839015839,0.028730441,0.623921676,0.145869318,0.071561642,0.959596752,1.268,0.00359599,0.001239142,2.99E-08,0.072315108
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Surface",0.080039698,0.075584995,0.035135871,0.806595917,0.015863458,0.570054901,0.153420678,0.059330968,0.878658697,0.9533,0.002670968,0.001122322,2.32E-08,0.057444703
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Underground",0.062749098,0.075889519,0.035762821,0.825134134,0.027231034,0.499460592,0.149575146,0.13571913,0.983159203,1.0787,0.003590155,0.001145324,2.86E-08,0.084112218
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Surface",0.061458528,0.075415856,0.03761868,0.77727412,0.028876689,0.670072903,0.144316877,0.12945735,0.855485146,1.3534,0.004378857,0.001323499,3.29E-08,0.091891027
Electricity; at grid; generation mix - Balancing Authority of Northern California,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.088006598,0.077457433,0.038458624,0.801867577,0.049012271,0.5474863,0.150750209,0.071185379,0.834807407,0.8408,0.002280025,0.001129157,1.76E-08,0.059858461
Electricity; at grid; generation mix - ISO-NE,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - West/Northwest, WC, Surface",0.074380831,0.077714381,0.035927327,0.861731049,0.023543822,0.409867911,0.154568121,0.120004165,0.936428715,0.7677,0.002083958,0.001076424,2.12E-08,0.052174737
Electricity; at grid; generation mix - Tampa Electric Company,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Underground",0.087089357,0.076257254,0.040440419,0.87782798,0.016851768,0.470248299,0.141225848,0.055082834,0.904705964,1.0386,0.002747406,0.001106718,2.11E-08,0.063613313
Electricity; at grid; generation mix - Portland General Electric Company,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Powder River Basin, BIT, Surface",0.058857334,0.075918625,0.03740315,0.866565355,0.041784045,0.591951143,0.155396566,0.063387997,0.989798344,0.7557,0.002221323,0.00107046,1.63E-08,0.060407762
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Processing",0.053499328,0.076819764,0.040829642,0.867922591,0.044124779,0.449536773,0.15704884,0.133652591,0.817191813,0.9866,0.002915853,0.00107771,2.70E-08,0.062576928
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Processing",0.082506534,0.075562869,0.039226488,0.884866804,0.015485591,0.477070289,0.148688403,0.118561497,0.838397164,0.9,0.002919873,0.001103688,2.19E-08,0.069965809
Electricity; at grid; generation mix - New York Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Processing",0.086785662,0.075928671,0.034992016,0.799023828,0.030302956,0.607014279,0.154443801,0.073572241,0.867601315,1.0974,0.003393104,0.001282728,2.65E-08,0.07256794
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Processing",0.053256636,0.073980452,0.033706119,0.887202282,0.018190361,0.4360514,0.153717935,0.097259608,0.922363604,1.0098,0.003350962,0.001096833,2.64E-08,0.079498491
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Surface",0.066913527,0.074604247,0.037419122,0.832666651,0.04861539,0.5185835,0.155285224,0.118114601,0.943946289,1.2264,0.003376879,0.001225485,2.88E-08,0.073175795
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Processing",0.072824017,0.076229853,0.040042857,0.836089077,0.026434835,0.519989777,0.147253375,0.087961302,0.937603931,1.2357,0.003891019,0.00124318,2.92E-08,0.08311931
Electricity; at grid; generation mix - Seminole Electric Cooperative,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Gulf Lignite, LIG, Surface",0.089773109,0.077337382,0.038745935,0.841525128,0.018319265,0.658910349,0.148246253,0.061104577,0.91826143,1.3581,0.003434918,0.001151382,2.96E-08,0.078804541
Electricity; at grid; generation mix - New York Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Processing",0.053261669,0.07634645,0.037884743,0.856475938,0.040822414,0.500202342,0.153141954,0.10794899,0.904763019,0.934,0.002809395,0.001161381,2.25E-08,0.061922443
Electricity; at grid; generation mix - Public Utility District No. 1 of Chelan County,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Powder River Basin, BIT, Surface",0.056037543,0.07643473,0.040841296,0.868802234,0.046424226,0.498745981,0.150929566,0.141174121,0.885086776,0.4816,0.00162118,0.001021679,1.59E-08,0.039303973
Electricity; at grid; generation mix - Seattle City Light,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Surface",0.08218083,0.075650965,0.041969012,0.871155719,0.011033227,0.562081854,0.143239308,0.060956204,0.816591914,0.6861,0.002281675,0.001139503,2.15E-08,0.048799848
"Electricity; at grid; generation mix - Public Utility District No. 2 of Grant County, Washington","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Processing",0.074441537,0.076961339,0.037608882,0.869121496,0.023901348,0.655154678,0.146772045,0.113839532,0.891844452,0.699,0.002257629,0.001133526,2.15E-08,0.047713441
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Underground",0.068039948,0.076113586,0.043037249,0.859361476,0.013428093,0.558297589,0.155670359,0.079963337,0.950855861,1.0054,0.003124002,0.001114223,2.24E-08,0.073763773
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Underground",0.080551431,0.074999735,0.034158392,0.882696426,0.040043337,0.660896165,0.142961263,0.081880784,0.864279149,1.343,0.003969853,0.00120094,3.57E-08,0.080320557
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.068326746,0.077042996,0.036904852,0.825419604,0.016276258,0.484881847,0.156425553,0.127838281,0.910509023,1.2309,0.003908195,0.001248637,2.94E-08,0.083773842
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Underground",0.056761983,0.076197111,0.039885952,0.788889572,0.017390192,0.519219301,0.152378814,0.077778905,0.880920497,1.3808,0.004035831,0.001269543,3.68E-08,0.078360346
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Processing",0.08127816,0.076157184,0.043581955,0.830020118,0.019553566,0.444890053,0.156540643,0.088817654,1.052229517,0.8737,0.002452511,0.001105822,2.20E-08,0.053027956
Electricity; at grid; generation mix - Public Service Company of Colorado,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.058017192,0.075692723,0.041655475,0.892139393,0.015788219,0.441998812,0.150833397,0.060394688,0.795295844,1.0278,0.002745999,0.001133433,2.65E-08,0.060459717
Electricity; at grid; generation mix - New York Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Surface",0.077997785,0.07581051,0.043545545,0.876301642,0.045191231,0.496827235,0.154751985,0.091109858,1.028682141,0.7818,0.002688014,0.001109405,1.68E-08,0.072074095
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Underground",0.068399926,0.076388981,0.036339636,0.872833802,0.017919751,0.497160988,0.144741588,0.076370573,0.981830617,1.2111,0.003402136,0.001171449,3.23E-08,0.066473116
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Underground",0.088663549,0.074612494,0.042316126,0.881246157,0.036233585,0.569312564,0.151542093,0.068026431,0.890417678,1.3279,0.003901123,0.001207329,3.47E-08,0.079303053
Electricity; at grid; generation mix - Balancing Authority of Northern California,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Gulf Lignite, LIG, Surface",0.08263576,0.076189933,0.043595206,0.860653683,0.028089749,0.578068542,0.141794609,0.128782654,0.886400007,1.0528,0.002935096,0.001193875,2.24E-08,0.069166384
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Lignite, LIG, Surface",0.07495083,0.075735895,0.041528091,0.871885333,0.029132377,0.603992692,0.155796215,0.086648142,0.96669357,1.1377,0.003320834,0.001113845,3.01E-08,0.071195946
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.086156505,0.075865891,0.039492075,0.864136357,0.014921265,0.535634554,0.149275494,0.126627123,0.889283917,0.8938,0.002488608,0.001092051,2.27E-08,0.053040083
Electricity; at grid; generation mix - Duke Energy Carolinas,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.07907567,0.07572712,0.036222567,0.867884949,0.029510144,0.501082785,0.141128207,0.051047671,0.744118661,0.7921,0.002583361,0.001105592,1.99E-08,0.066972977
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Underground",0.058473348,0.075087085,0.039864002,0.832786111,0.011861916,0.515055639,0.150309346,0.117110135,0.780680083,1.1792,0.003785774,0.001225248,2.88E-08,0.081240093
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.051575426,0.074349166,0.036190311,0.774850519,0.029679541,0.497551832,0.142361823,0.056462956,0.895920479,1.2704,0.00361564,0.001276835,3.13E-08,0.076102731
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Import, BIT, Underground",0.052157995,0.077520423,0.03810483,0.838287696,0.033043336,0.472897005,0.142168723,0.124791787,0.871058946,1.0924,0.003192976,0.001183625,2.84E-08,0.062413466
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Surface",0.080247613,0.075098226,0.038207745,0.881094438,0.040079744,0.454696355,0.155599289,0.060501211,0.933644799,1.0212,0.003014713,0.001100553,2.75E-08,0.065522219
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Surface",0.078322121,0.07567409,0.034670345,0.834787339,0.034771818,0.477871789,0.153643446,0.069850197,0.852291519,1.0336,0.003051103,0.001121657,2.84E-08,0.065822766
Electricity; at grid; generation mix - New York Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Surface",0.060231864,0.076445288,0.043141979,0.833907194,0.049000477,0.496703669,0.145926216,0.111731122,0.938070964,0.9915,0.003028751,0.001205737,2.40E-08,0.06566125
Electricity; at grid; generation mix - New York Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Surface",0.069702649,0.075161921,0.039947636,0.789365407,0.047038964,0.619385878,0.151391253,0.067822279,0.974913821,0.8182,0.002435421,0.00112685,1.81E-08,0.061311199
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.071173816,0.076709484,0.035519649,0.879832887,0.039156787,0.496964659,0.147498214,0.069909201,0.921992425,1.2195,0.003640349,0.00117992,3.29E-08,0.073839846
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Underground",0.077882244,0.076393086,0.035124514,0.823072589,0.035569991,0.534841501,0.148272711,0.12696898,0.834603929,1.357,0.004111916,0.001262269,3.70E-08,0.081469867
Electricity; at grid; generation mix - Balancing Authority of Northern California,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - West/Northwest, WC, Surface",0.063268545,0.076164428,0.036326935,0.858157769,0.0144662,0.612841761,0.151512541,0.136893464,1.015053247,0.8404,0.002185617,0.001070101,1.65E-08,0.05831253
